Car Title,Car Price,Car Location,Car Year,Car Km,Car Fuel,Car CC,Car Transmission
Lexus LX Series  2023 LX 600 Ultra Luxury for Sale,PKR 15 crore,Karachi,2023,"4,645 km",Petrol,3500 cc,Automatic
Suzuki Swift  2018 DLX Automatic 1.3 Navigation for Sale,PKR 29.5 lacs,Karachi,2018,"20,000 km",Petrol,1300 cc,Automatic
Mitsubishi EK X  2020 Sports for Sale,PKR 36 lacs,Karachi,2020,"21,000 km",Petrol,659 cc,Automatic
Suzuki Cultus  2010 VXRi (CNG) for Sale,PKR 11.9 lacs,Karachi,2010,"74,660 km",Petrol,1000 cc,Manual
Suzuki Swift  2023 GLX CVT for Sale,PKR 46.75 lacs,Karachi,2023,"41,000 km",Petrol,1200 cc,Automatic
Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 42.5 lacs,Karachi,2021,"42,623 km",Petrol,1300 cc,Automatic
Honda Civic 7th Generation (Facelift) 2006 VTi Oriel UG Prosmatec 1.6 for Sale,PKR 21.5 lacs,Karachi,2006,"139,000 km",Petrol,1600 cc,Automatic
Toyota Vitz  2013 F Intelligent Package 1.0 for Sale,PKR 25.75 lacs,Karachi,2013,"66,000 km",Petrol,1000 cc,Automatic
Suzuki Cultus  2018 VXR for Sale,PKR 22.75 lacs,Karachi,2018,"95,000 km",Petrol,1000 cc,Manual
Suzuki Cultus  2019 VXR for Sale,PKR 26.5 lacs,Karachi,2019,"45,000 km",Petrol,1000 cc,Manual
Suzuki Swift  2017 DLX 1.3 Navigation  for Sale,PKR 24 lacs,Karachi,2017,"79,000 km",Petrol,1300 cc,Manual
Honda City  2015 1.3 i-VTEC Prosmatec for Sale,PKR 28 lacs,Karachi,2015,"105,000 km",Petrol,1300 cc,Automatic
Daihatsu Tanto  2007  for Sale,PKR 16.5 lacs,Karachi,2007,"130,000 km",Petrol,660 cc,Automatic
KIA Picanto  2020 1.0 AT for Sale,PKR 26.5 lacs,Karachi,2020,"47,000 km",Petrol,1000 cc,Automatic
Honda Civic  2003 EXi for Sale,PKR 15.5 lacs,Karachi,2003,"115,000 km",Petrol,1500 cc,Manual
Daihatsu Mira  2014 G SA for Sale,PKR 24.5 lacs,Karachi,2014,"84,000 km",Petrol,660 cc,Automatic
Toyota Passo  2014 X for Sale,PKR 27.5 lacs,Karachi,2014,"170,000 km",Petrol,1000 cc,Automatic
Toyota Probox  2012  for Sale,PKR 32 lacs,Karachi,2012,"110,000 km",Petrol,1300 cc,Automatic
Daihatsu Mira  2021 X SA lll for Sale,PKR 36 lacs,Karachi,2021,"35,000 km",Petrol,660 cc,Automatic
Toyota Raize  2020 Z for Sale,PKR 63 lacs,Karachi,2020,"32,000 km",Petrol,1000 cc,Automatic
Toyota Vitz  2007 B S Edition 1.0 for Sale,PKR 19 lacs,Karachi,2007,"156,000 km",Petrol,1000 cc,Automatic
